sku,product,pdf_listed,live_found,usable_image,status,pdf_was,pdf_now,live_was,live_now,product_url
90665,Hanging Light Up Gonk,YES,YES,YES,IN_BOTH_USABLE,£8.00,£4.00,£8.00,£4.00,https://stevegiergiel.vivamknetwork.co.uk/hanging-light-up-gonk.html
90679,Star Stake Lights - Multi,YES,NO,NO,PDF_ONLY,£20.00,£10.00,,,
90681,Inlit Santa,YES,YES,YES,IN_BOTH_USABLE,£19.00,£9.50,£19.00,£9.50,https://stevegiergiel.vivamknetwork.co.uk/inlit-santa.html
90683,Gold Robin - King,YES,YES,YES,IN_BOTH_USABLE,£8.00,£4.00,£8.00,£4.00,https://stevegiergiel.vivamknetwork.co.uk/gold-robin-king.html
90692,Santa Shaped Oil Burner,YES,YES,YES,IN_BOTH_USABLE,£12.00,£6.00,£12.00,£6.00,https://stevegiergiel.vivamknetwork.co.uk/santa-shaped-oil-burner.html
90705,Christmas Eve Elf Bag,YES,YES,YES,IN_BOTH_USABLE,£3.00,£1.50,£3.00,£1.50,https://stevegiergiel.vivamknetwork.co.uk/christmas-eve-elf-bag.html
90710,Christmas Crackers MYO - Snowman,YES,YES,YES,IN_BOTH_USABLE,£5.00,£2.50,£5.00,£2.50,https://stevegiergiel.vivamknetwork.co.uk/christmas-crackers-myo-snowman.html
90731,Festive Highland Cow,YES,NO,NO,PDF_ONLY,£14.00,£7.00,,,
90737,LED Santa with Star,YES,YES,YES,IN_BOTH_USABLE,£18.00,£9.00,£18.00,£9.00,https://stevegiergiel.vivamknetwork.co.uk/led-santa-with-star.html
90745,MYO Santa Stop Sign,YES,YES,YES,IN_BOTH_USABLE,£3.00,£1.50,£3.00,£1.50,https://stevegiergiel.vivamknetwork.co.uk/myo-santa-stop-sign.html
90748,120 Christmas Stickers,YES,YES,YES,IN_BOTH_USABLE,£3.00,£1.50,£3.00,£1.50,https://stevegiergiel.vivamknetwork.co.uk/120-christmas-stickers.html
90752,Winter Wonderland - Double Oven Glove,YES,YES,YES,IN_BOTH_USABLE,£9.00,£4.50,£9.00,£4.50,https://stevegiergiel.vivamknetwork.co.uk/winter-wonderland-double-oven-glove.html
90761,His Lordship Mug,YES,YES,YES,IN_BOTH_USABLE,£7.00,£3.50,£7.00,£3.50,https://stevegiergiel.vivamknetwork.co.uk/his-lordship-mug.html
90768,Reusable Shopping Bag - Christmas Highland Coo,YES,YES,YES,IN_BOTH_USABLE,£9.00,£4.50,£9.00,£4.50,https://stevegiergiel.vivamknetwork.co.uk/reusable-shopping-bag-christmas-highland-coo.html
90770,Crochet Kit - Jolly Santa,YES,YES,YES,IN_BOTH_USABLE,£10.00,£5.00,£10.00,£5.00,https://stevegiergiel.vivamknetwork.co.uk/crochet-kit-jolly-santa.html
90779,Felt Play Scene,YES,YES,YES,IN_BOTH_USABLE,£5.00,£2.50,£5.00,£2.50,https://stevegiergiel.vivamknetwork.co.uk/felt-play-scene.html
90787,Snacks for Santa Board,YES,YES,YES,IN_BOTH_USABLE,£5.00,£2.50,£5.00,£2.50,https://stevegiergiel.vivamknetwork.co.uk/snacks-for-santa-board.html
90809,Light Up Robin,YES,YES,YES,IN_BOTH_USABLE,£15.00,£7.50,£15.00,£7.50,https://stevegiergiel.vivamknetwork.co.uk/light-up-robin.html
90823,Blinkin Santa,YES,YES,YES,IN_BOTH_USABLE,£30.00,£15.00,£30.00,£15.00,https://stevegiergiel.vivamknetwork.co.uk/blinkin-santa.html
90836,Highland Cow - Santa Sack,YES,YES,YES,IN_BOTH_USABLE,£12.00,£6.00,£12.00,£6.00,https://stevegiergiel.vivamknetwork.co.uk/highland-cow-santa-sack.html
90837,Snowman Ornament,YES,YES,YES,IN_BOTH_USABLE,£10.00,£5.00,£10.00,£5.00,https://stevegiergiel.vivamknetwork.co.uk/snowman-ornament.html
90842,Festive Baubles - Santa Claus,YES,NO,NO,PDF_ONLY,£14.00,£7.00,,,
90845,Velvet Bows 3pk - Red,YES,YES,YES,IN_BOTH_USABLE,£5.00,£2.50,£5.00,£2.50,https://stevegiergiel.vivamknetwork.co.uk/velvet-bows-3pk-red.html
