sku,product,was,now,saving,percent,product_url,description,image_url,image_file,qr_file,availability,stock_status,sold_out_since
13821,Foot Warmer Hot Water Bottle - Tartan,£14.00,£10.50,£3.50,25%,https://stevegiergiel.vivamknetwork.co.uk/foot-warmer-hot-water-bottle-tartan.html,"Great for keeping your feet warm, this cosy foot warmer hot water bottle features a classic tartan fleece cover. Ideal if you have poor circulation or cold feet. One size fits most. Cover: 100% polyester & foam. Inner: natural rubber. Capacity: 2 litres. L34 x W29cm. Hand wash.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/3/13821.jpg,output\winter_warmers\cache\images\13821.jpg,output\winter_warmers\cache\images\13821_qr.png,,active,
13827,Foot Warmer Inserts - 2 Pairs,£3.00,£2.25,£0.75,25%,https://stevegiergiel.vivamknetwork.co.uk/foot-warmer-inserts-2-pairs.html,"Provides instant warmth when you need it. Ideal for cold mornings, football matches, camping, travelling plus more. They’re air activated and odourless. Stays for warm up to 8 hours. Available in Hand Warmers (4 warmers per pack) or Toe Warmer Insoles (2 pairs per pack).",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/3/13827.jpg,output\winter_warmers\cache\images\13827.jpg,output\winter_warmers\cache\images\13827_qr.png,,active,
14593,Grey Faux Fur Long Hot Water Bottle,£10.00,£7.50,£2.50,25%,https://stevegiergiel.vivamknetwork.co.uk/grey-faux-fur-long-hot-water-bottle.html,"Our long faux fur hot water bottle wraps perfectly around your shoulders, tummy, or legs for soothing warmth. With its soft cover and flexible shape, it’s ideal for easing aches or simply snuggling up all year round. Cover: 100% polyester, machine washable. Inner: natural rubber. Capacity: 2 litres. L72 x W12cm.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14593.jpg,output\winter_warmers\cache\images\14593.jpg,output\winter_warmers\cache\images\14593_qr.png,,active,
14682,Heat Machine Showerproof Balaclava,£9.00,£6.75,£2.25,25%,https://stevegiergiel.vivamknetwork.co.uk/heat-machine-showerproof-balaclava.html,The ultimate stay dry thermal balaclava. Constructed with a showerproof hood and a fleece lining creating a thermal barrier to keep warm air close to your skin and bad weather out. Polyester. Machine washable. One size fits most. 2.5 tog rating.,https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14682.jpg,output\winter_warmers\cache\images\14682.jpg,output\winter_warmers\cache\images\14682_qr.png,,active,
14673,Heat Machine Thermal Tassle Scarf,£6.50,£4.88,£1.62,25%,https://stevegiergiel.vivamknetwork.co.uk/heat-machine-thermal-tassle-scarf.html,"Stay warm and cosy this winter with our ultimate heat machine thermal fleece scarf. It offers exceptional warmth and comfort, making it ideal for chilly days and evenings. Polyester. Machine washable. One size fits most.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14673.jpg,output\winter_warmers\cache\images\14673.jpg,output\winter_warmers\cache\images\14673_qr.png,,active,
14627,Highland Coo Microwavable Plush Neck Warmer - Lavender,£16.50,£12.38,£4.12,25%,https://stevegiergiel.vivamknetwork.co.uk/highland-coo-microwavable-plush-neck-warmer-lavender.html,"Designed for ultimate relaxation, this adorable, ultra-soft plush wraps gently around your neck, easing tension with the calming scent of natural lavender and the soothing warmth of a microwaveable heat pack. Cover: 100% polyester, machine washable. Inner: cotton with wheat & lavender seeds. L59 x W11 x D2cm.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14627.jpg,output\winter_warmers\cache\images\14627.jpg,output\winter_warmers\cache\images\14627_qr.png,,active,
14628,Highland Coo Slippers,£23.50,£17.63,£5.87,25%,https://stevegiergiel.vivamknetwork.co.uk/highland-coo-slippers.html,"Step into cosiness with these ultra-soft Highland Coo slippers, each one shaped like a coo head. With their fuzzy charm, squishy comfort, and easy slip-on design, they’re the perfect blend of warmth and whimsy. A must-have for chilly mornings or lounging in true Highland style. Polyester with PE sole. Unisex. One size fits most.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14628.jpg,output\winter_warmers\cache\images\14628.jpg,output\winter_warmers\cache\images\14628_qr.png,,active,
13844,Hooded Double Layer Blanket - Navy,£20.00,£15.00,£5.00,25%,https://stevegiergiel.vivamknetwork.co.uk/hooded-double-layer-blanket-navy.html,"Wrap up warm in this super soft & snug hooded blanket. The ultimate blend of comfort, practicality and cosiness. Features a hood, two pockets and sherpa lining. Perfect for snuggly days and chilly evenings. 100% polyester. Machine washable. L90 x W185cm.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/3/13844.jpg,output\winter_warmers\cache\images\13844.jpg,output\winter_warmers\cache\images\13844_qr.png,,active,
12291,Ice Scraper,£3.50,£2.63,£0.87,25%,https://stevegiergiel.vivamknetwork.co.uk/ice-scraper.html,Make the chore of removing frost and ice from your vehicle a breeze with this heavy-duty ice scraper. Soft grip handle with heavyduty plastic blade. L26 x W13cm. Colour may vary.,https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/2/12291_1.jpg,output\winter_warmers\cache\images\12291.jpg,output\winter_warmers\cache\images\12291_qr.png,,active,
14599,Ice Scraper with Fleece Glove,£4.50,£3.38,£1.12,25%,https://stevegiergiel.vivamknetwork.co.uk/ice-scraper-with-fleece-glove.html,"Say goodbye to frosty mornings with this convenient ice scraper. A cosy fleece glove with a built-in scraper that keeps your hands warm while you clear away ice and snow with ease. L26 x W17cm, polyester & plastic. Colour may vary.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14599.jpg,output\winter_warmers\cache\images\14599.jpg,output\winter_warmers\cache\images\14599_qr.png,,active,
14591,Insulated Camping Mat,£9.50,£7.13,£2.37,25%,https://stevegiergiel.vivamknetwork.co.uk/insulated-camping-mat.html,"Stay warm and comfortable outdoors with this lightweight, compact insulated mat. Features an aluminium backing for moisture protection and heat reflection, plus quick-drying, easy-to-clean material. Ideal for outdoors or exercise. Roll up for easy storage. Pre-fitted roll straps. Wipe clean. EVA foam & aluminium. L180 x W50 x D0.6cm",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14591.jpg,output\winter_warmers\cache\images\14591.jpg,output\winter_warmers\cache\images\14591_qr.png,,active,
14799,Kids Oversized Plush Hoodie - Dark Grey,£14.50,£10.88,£3.62,25%,https://stevegiergiel.vivamknetwork.co.uk/kids-oversized-plush-hoodie-slate-grey.html,"Wrap your child in ultimate warmth and comfort with our oversized blanket hoodie. Designed for extra coverage, these ultra-soft hoodies feature a cosy hood and a large front pocket. Fleece lined hood.100% polyester. Machine washable. Unisex. Recommended for ages 7-13 years. L72 x W62cm approx.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14799.jpg,output\winter_warmers\cache\images\14799.jpg,output\winter_warmers\cache\images\14799_qr.png,,active,
14672,Kids Oversized Plush Hoodie -Gamer,£17.50,£13.13,£4.37,25%,https://stevegiergiel.vivamknetwork.co.uk/kids-oversized-plush-hoodie-gamer.html,"Wrap your child in ultimate warmth and comfort with our oversized blanket hoodie. Designed for extra coverage, these ultra-soft hoodies feature a cosy hood and a large front pocket. Teddy fleece lined hood. 100% polyester. Machine washable. Unisex. Recommended for ages 7-13 years. L72 x W62cm approx.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14672.jpg,output\winter_warmers\cache\images\14672.jpg,output\winter_warmers\cache\images\14672_qr.png,,active,
14644,Kleeneze Heated Under Blanket - King Size,£30.00,£22.50,£7.50,25%,https://stevegiergiel.vivamknetwork.co.uk/kleeneze-heated-under-blanket-king-size.html,"Say goodbye to chilly nights. Our heated under blanket is crafted from 100% non-woven polyester for a luxuriously soft feel and lasting durability. Designed to keep you warm and comfortable, it’s the perfect addition to your winter bedding. Features tie-down design. 3 Heat settings. Secure safety connector. LED power indicator light. Thermal-cut out device with controller. Machine washable. Mains operated. Available in 3 sizes: Single (L120 x W60cm, 35W), Double (L120 x W107cm, 60W), King Size (L130 x W120cm, 70W).",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14644.jpg,output\winter_warmers\cache\images\14644.jpg,output\winter_warmers\cache\images\14644_qr.png,,active,
