sku,product,was,now,saving,percent,product_url,description,image_url,image_file
90885,Decoir Mat - Ho Ho Ho,£16.00,£8.00,£8.00,50%,https://stevegiergiel.vivamknetwork.co.uk/decoir-mat-ho-ho-ho.html,"A handcrafted decoir mat in Ho Ho Ho design are made from durable natural coir that removes mud & dirt from shoes & boots. It’s easy to clean, simply brush when dry. Slip-resistant PVC backing. Suitable for indoor or covered outdoor use. L60 x W40cm.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90885.jpg,christmas_booklet_output\cache\90885.jpg
90892,Glitter Tote Bag - Up to Snow Good,£9.00,£4.50,£4.50,50%,https://stevegiergiel.vivamknetwork.co.uk/glitter-tote-bag-up-to-snow-good.html,"A playful contemporary Christmas shopping bag, with the glittery slogan ‘up to snow good’ on a bold bright pink background. Great for those who love a splash of colour and sparkle. Cotton. Size including handles: H73 x W37cm. Excluding handles: H40cm x W37cm.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90892.jpg,christmas_booklet_output\cache\90892.jpg
90893,Hot Water Bottle with Socks - Reindeer,£14.00,£7.00,£7.00,50%,https://stevegiergiel.vivamknetwork.co.uk/hot-water-bottle-with-socks-reindeer.html,Keep cosy and warm through the colder months with a reindeer-themed rubber hot water bottle and matching socks. 100% polyester. Socks & removable cover are machine washable. Socks UK size 3-5. Hot water bottle capacity: 1 litre.,https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90893.jpg,christmas_booklet_output\cache\90893.jpg
90894,Hot Water Bottle - Santa,£12.00,£6.00,£6.00,50%,https://stevegiergiel.vivamknetwork.co.uk/hot-water-bottle-santa.html,A cute Father Christmas cosy cover and rubber hot water bottle. The removable cover is machine washable. 100% polyester. Hot water bottle capacity: 1 litre.,https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90894.jpg,christmas_booklet_output\cache\90894.jpg
90895,Creative Crochet - Stocking,£10.00,£5.00,£5.00,50%,https://stevegiergiel.vivamknetwork.co.uk/creative-crochet-stocking.html,"This cute Christmas-themed stocking crochet kit is packaged in a recyclable cardboard box and sleeve and is a perfect gift for the avid crafter, crocheter or yarnie! L34 x W15cm. Suitable for age 12+. Each kit contains: • Polyester Yarn • Polyester Fiberfill • Crochet Hook • Embroidery Thread • Instructions",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90895.jpg,christmas_booklet_output\cache\90895.jpg
90918,Finger Puppets,£5.50,£2.75,£2.75,50%,https://stevegiergiel.vivamknetwork.co.uk/finger-puppets.html,his set is perfect for storytelling over the holiday period. It includes 5 festive-themed character finger puppets to let their imagination run free. BPA-free PVC. Each puppet approx. size: L5.3 x W4.8cm. Suitable for ages 3+ years.,https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90918.png,christmas_booklet_output\cache\90918.png
90925,MYO Snow Globe,£10.00,£5.00,£5.00,50%,https://stevegiergiel.vivamknetwork.co.uk/myo-snow-globe.html,"All you need to create two uniquely designed snow globes. Set includes 2 snow globes with 2 fridge magnets, 6 colouring cards, 6 assorted felt tips and 112 stickers. Free-standing or use the magnetic reverse to showcase on your fridge. Reuse year after year. H5 x W7 x D3cm. Paper & plastic. Suitable for ages 3+ years.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90925.jpg,christmas_booklet_output\cache\90925.jpg
90930,Festive Fancy - King Size,£38.00,£19.00,£19.00,50%,https://stevegiergiel.vivamknetwork.co.uk/festive-fancy-king-size.html,"The Festive Fancy duvet set is here to sweeten the season with its pastel-wrapped print and reversible bright stripes. Brimming with festive flair and made from sustainable polycotton, this modern design adds conscious yet playful style to your Yule-loving décor. 52% recycled polyester, 48% BCI cotton. Single includes 1 pillowcase, double, king size, and super king include 2 pillowcases. Popper fastening. Machine washable.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90930.jpg,christmas_booklet_output\cache\90930.jpg
90933,Cushion Cover - Fa La La,£9.00,£4.50,£4.50,50%,https://stevegiergiel.vivamknetwork.co.uk/cushion-cover-fa-la-la.html,"Matching cushion cover for the Festive Fancy bedding, with contrast piped edging, Zip fastening. 100% GRS recycled polyester velvet. Machine washable. L43 x W43cm.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90933_1.jpg,christmas_booklet_output\cache\90933.jpg
90935,Christmas Ornaments - Double,£32.00,£16.00,£16.00,50%,https://stevegiergiel.vivamknetwork.co.uk/christmas-ornaments-double.html,"Bring a touch of festive magic to your bedroom with the Christmas Ornaments duvet cover set. Adorned with a nostalgic print in a cheerfully modern palette, this reversible design captures the little details that make Christmastime special. 52% recycled polyester, 48% BCI cotton. Single includes 1 pillowcase, double, king size, and super king include 2 pillowcases. Popper fastening. Machine washable.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90935.jpg,christmas_booklet_output\cache\90935.jpg
90936,Christmas Ornaments - King Size,£38.00,£19.00,£19.00,50%,https://stevegiergiel.vivamknetwork.co.uk/christmas-ornaments-king-size.html,"Bring a touch of festive magic to your bedroom with the Christmas Ornaments duvet cover set. Adorned with a nostalgic print in a cheerfully modern palette, this reversible design captures the little details that make Christmastime special. 52% recycled polyester, 48% BCI cotton. Single includes 1 pillowcase, double, king size, and super king include 2 pillowcases. Popper fastening. Machine washable.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90936.jpg,christmas_booklet_output\cache\90936.jpg
90938,Cushion Cover - Merry Deer,£9.00,£4.50,£4.50,50%,https://stevegiergiel.vivamknetwork.co.uk/cushion-cover-merry-deer.html,"Matching cushion cover (to the Christmas Ornaments bedding), with contrast piped edging. Zip fastening. 100% GRS recycled polyester velvet. Machine washable. L43 x W43cm.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90938.jpg,christmas_booklet_output\cache\90938.jpg
90942,Santa Please Stop Here - Single,£22.00,£11.00,£11.00,50%,https://stevegiergiel.vivamknetwork.co.uk/santa-please-stop-here-single.html,"This delightful set features a playful design with ‘Santa Please Stop Here’ across the bedding and glow-in-the-dark stars, which create a magical atmosphere when the lights go out. It has a contrasting jolly red Santa reverse. Single includes 1 pillowcase, and double includes 2 pillowcases. Popper fastening. 100% microfibre polyester. Machine washable.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90942.jpg,christmas_booklet_output\cache\90942.jpg
90943,Santa Please Stop Here - Double,£32.00,£16.00,£16.00,50%,https://stevegiergiel.vivamknetwork.co.uk/santa-please-stop-here-double.html,"This delightful set features a playful design with ‘Santa Please Stop Here’ across the bedding and glow-in-the-dark stars, which create a magical atmosphere when the lights go out. It has a contrasting jolly red Santa reverse. Single includes 1 pillowcase, and double includes 2 pillowcases. Popper fastening. 100% microfibre polyester. Machine washable.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90943.jpg,christmas_booklet_output\cache\90943.jpg
90945,Dinosaur Christmas Eve Box,£2.50,£1.25,£1.25,50%,https://stevegiergiel.vivamknetwork.co.uk/dinosaur-christmas-eve-box.html,"Make Christmas Eve extra special with these festive and fun Christmas Eve Box! Featuring brightly coloured designs and a built-in handle for easy carrying, it’s perfect for holding treats, small gifts, or holiday surprises. Each box includes a sheet of alphabetical stickers so you can personalise it with a name - making it a magical keepsake. Crafted from durable card with a laminated gloss finish, it’s both sturdy and eye-catching. Assembly required. Approx size: H28 x W34 x D15.5cm. Choose from two delightful designs: a whimsical fairy theme or a roaringly fun dinosaur style.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90945.jpg,christmas_booklet_output\cache\90945.jpg
