sku,product,was,now,saving,percent,product_url,description,image_url,image_file,qr_file,availability,stock_status,sold_out_since
14325,Step 03 - Hydrating Conditioner,£7.00,£5.00,£2.00,29%,https://stevegiergiel.vivamknetwork.co.uk/step-03-hydrating-conditioner.html,"Infuse hydration into lacklustre, dry hair with hydrating glycerin, moisture-locking chia seed oil and strengthening pro-vitamin B5. Vegan. 250ml.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14325.png,output\mega_sale\cache\images\14325.jpg,output\mega_sale\cache\images\14325_qr.png,,active,
14131,Sweet Dreams Dog Bed - Medium/Large,£30.00,£22.00,£8.00,27%,https://stevegiergiel.vivamknetwork.co.uk/sweet-dreams-dog-bed-medium-large.html,"Ensure your pet a great night's sleep with the dog print design pet bed. It provides comfort and warmth. Non-slip base. Velvet imitation polyester with fleece. Hand wash. Available in two sizes, small/medium & medium/large. Small/Medium: H15 x W46 x D36cm. Medium/Large: H20 x W58 x D48cm. Matching blanket available.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14131_1.jpg,output\mega_sale\cache\images\14131.jpg,output\mega_sale\cache\images\14131_qr.png,,active,
14130,Sweet Dreams Dog Bed - Small/Medium,£22.00,£16.00,£6.00,27%,https://stevegiergiel.vivamknetwork.co.uk/sweet-dreams-dog-bed-small-medium.html,"Ensure your pet a great night's sleep with the dog print design pet bed. It provides comfort and warmth. Non-slip base. Velvet imitation polyester with fleece. Hand wash. Available in two sizes, small/medium & medium/large. Small/Medium: H15 x W46 x D36cm. Medium/Large: H20 x W58 x D48cm. Matching blanket available.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14130_1.jpg,output\mega_sale\cache\images\14130.jpg,output\mega_sale\cache\images\14130_qr.png,,active,
13918,Swirl Lip Mask - Strawberry Ripple,£5.00,£3.50,£1.50,30%,https://stevegiergiel.vivamknetwork.co.uk/swirl-lip-mask-strawberry-ripple.html,"This buttery formula hydrates and soothes, leaving lips infused with a hint of sweet strawberry. It contains squalane and shea butter to deeply hydrate, ensuring soft supple lips. Vegan. 20g.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/3/13918.jpg,output\mega_sale\cache\images\13918.jpg,output\mega_sale\cache\images\13918_qr.png,,active,
14310,The Shave Dr - Daily Hydrating Cream,£5.00,£2.50,£2.50,50%,https://stevegiergiel.vivamknetwork.co.uk/the-shave-dr-daily-hydrating-cream.html,"A hydrating moisturising cream for dehydrated and blemish-prone skin. It helps replace the moisture lost post-shaving and treats dry and dehydrated skin. Contains aloe vera, prickly pear & edelweiss. Vegan. 100ml.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14310.jpg,output\mega_sale\cache\images\14310.jpg,output\mega_sale\cache\images\14310_qr.png,,active,
13136,Tissue and Wipes Holder,£7.00,£3.50,£3.50,50%,https://stevegiergiel.vivamknetwork.co.uk/tissue-and-wipes-holder.html,"Conveniently store tissues and wipes with this self-adhesive holder. Easy to install, no tools needed. Plastic. Approx H19xW13.5xD8cm.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/3/13136.jpg,output\mega_sale\cache\images\13136.jpg,output\mega_sale\cache\images\13136_qr.png,,active,
13096,Top Voile Curtain Panels Pk2 - Blush,£14.00,£10.00,£4.00,29%,https://stevegiergiel.vivamknetwork.co.uk/top-voile-curtain-panels-pk2-blush.html,"Elegant plain design slot top curtain panels, the perfect way to create privacy without losing light. 2 curtains per pack. Available in three colours, Grey, Blush & Natural. Hand wash. 100% polyester. Size: H90” x W59”.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/3/13096.jpg,output\mega_sale\cache\images\13096.jpg,output\mega_sale\cache\images\13096_qr.png,,active,
13095,Top Voile Curtain Panels Pk2 - Grey,£14.00,£10.00,£4.00,29%,https://stevegiergiel.vivamknetwork.co.uk/top-voile-curtain-panels-pk2-grey.html,"Elegant plain design slot top curtain panels, the perfect way to create privacy without losing light. 2 curtains per pack. Available in three colours, Grey, Blush & Natural. Hand wash. 100% polyester. Size: H90” x W59”.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/3/13095.jpg,output\mega_sale\cache\images\13095.jpg,output\mega_sale\cache\images\13095_qr.png,,active,
13787,Traditional Wire Maze Game,£5.00,£3.50,£1.50,30%,https://stevegiergiel.vivamknetwork.co.uk/traditional-wire-maze-game.html,"A traditional wire maze game. It promotes recognition, motor skills and hand-eye coordination. With a farmyard design. Plastic, metal & wood. Comes boxed. Suitable for age 18m+. Approx. size: H12.5 x Diam. 9cm.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/3/13787.jpg,output\mega_sale\cache\images\13787.jpg,output\mega_sale\cache\images\13787_qr.png,,active,
14299,Triangle Powder Sponge,£2.00,£1.50,£0.50,25%,https://stevegiergiel.vivamknetwork.co.uk/triangle-powder-sponge.html,"A pack of 2 triangle powder puff sponges, great for applying loose or pressed powder. Each pack includes a pink and a black sponge. Hand wash. Size of each: L7 x W7.5cm.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14299.jpg,output\mega_sale\cache\images\14299.jpg,output\mega_sale\cache\images\14299_qr.png,,active,
11665,Tumble Dryer Sheets - Spring Fresh,£3.00,£2.00,£1.00,33%,https://stevegiergiel.vivamknetwork.co.uk/tumble-dryer-sheets-spring-fresh.html,"Keep your clothes smelling lovely, whilst protecting them from extra creasing and static. Available in 3 lovely fresh scents. Simply pop one in the dryer with your laundry for long lasting fragrance. Pack of 35.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/1/11665.jpg,output\mega_sale\cache\images\11665.jpg,output\mega_sale\cache\images\11665_qr.png,,active,
13627,Twin Grater with Storage Tub,£4.00,£3.00,£1.00,25%,https://stevegiergiel.vivamknetwork.co.uk/twin-grater-with-storage-tub.html,"This dual grater has a medium grater on one side, for use with hard cheese & vegetables, and a fine grater on the other, for zesting. Comes with attachable storage tub. Steel & plastic. Dishwasher safe. L23.3 x W17.7 x D5.3cm.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/3/13627.jpg,output\mega_sale\cache\images\13627.jpg,output\mega_sale\cache\images\13627_qr.png,,active,
14330,Unicorn Clips - Set of 6,£2.50,£2.00,£0.50,20%,https://stevegiergiel.vivamknetwork.co.uk/unicorn-clips-set-of-6.html,"Sparkly unicorn clips, perfect for unicorn-obsessed children. A pack of 6 in an assortment of 3 designs, 3 of each. Suitable for ages 3+ years.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14330.jpg,output\mega_sale\cache\images\14330.jpg,output\mega_sale\cache\images\14330_qr.png,,active,
13441,Wax Strips - Assorted Sizes,£2.50,£1.50,£1.00,40%,https://stevegiergiel.vivamknetwork.co.uk/wax-strips-assorted-sizes.html,Remove unwanted hair with ease with our range of wax strips. Our assorted pack contains 20 strips in various sizes & our facial wax strips contain 16 strips with 4 finishing wipes.,https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/3/13441.jpg,output\mega_sale\cache\images\13441.jpg,output\mega_sale\cache\images\13441_qr.png,,active,
14049,Wireless Doorbell & Chime,£20.00,£15.00,£5.00,25%,https://stevegiergiel.vivamknetwork.co.uk/wireless-doorbell-chime.html,"An easy-to-install, waterproof, wireless doorbell & chime. It has 38 melodies to choose from with a range of up to 80m. Requires 1 x A23 battery (not included). Fittings & fixings included. Either screw mounted or via adhesive patch. Receiver is mains powered. Doorbell: L9 x W3.5cm. Receiver: L11.5 x W6.8cm.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14049.jpg,output\mega_sale\cache\images\14049.jpg,output\mega_sale\cache\images\14049_qr.png,,active,
13930,Wooden Tower Game,£5.00,£4.00,£1.00,20%,https://stevegiergiel.vivamknetwork.co.uk/wooden-tower-game.html,A great game for the whole family! Who will be the first to knock down the tower? It’s a great test of skill and strategy as each player takes turns to remove one block and place it on the top without the tower falling over! 48 wooden blocks. Approx. height of tower when built: 16cm. 2+ players. Suitable for ages 3+ years.,https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/3/13930.jpg,output\mega_sale\cache\images\13930.jpg,output\mega_sale\cache\images\13930_qr.png,,active,
