sku,product,was,now,saving,percent,product_url,description,image_url,image_file,qr_file,availability,stock_status,sold_out_since
60423,Musical Fairy Snow Globe,£26.00,£21.00,£5.00,19%,https://stevegiergiel.vivamknetwork.co.uk/musical-fairy-snow-globe.html,"Bring timeless holiday magic to your home with this exquisite piece. Features a glittery fairy ornament, intricate base, warm white LED light, swirling snowstorm function, and 8 classic Christmas tunes. A perfect gift or festive showpiece. Comes gift boxed. Hand painted. Glass & Resin. Requires 3 x AAA batteries (not included). H15cm x diam. 10cm. Classic songs: Jingle Bells, We Wish You A Merry Christmas, Silent Night, Deck The Halls, Joy To The World, The First Noel, Hark! The Herald Angel Sing, Oh, Christmas Tree. Personalise in white vinyl, up to 15 characters.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/6/0/60423.jpg,output\personalised\cache\images\60423.jpg,output\personalised\cache\images\60423_qr.png,,active,
60422,Musical Gonk Snow Globe,£26.00,£21.00,£5.00,19%,https://stevegiergiel.vivamknetwork.co.uk/musical-gonk-snow-globe.html,"Bring festive cheer with this colourful Gonk Snow Globe. Featuring a swirling snowstorm, flashing colour-changing LED, and 8 classic Christmas songs, all set on an ornate decorative base. A perfect holiday centrepiece or gift. Comes gift boxed. Hand painted. Glass & Resin. Requires 3 x AAA batteries (not included). H15cm x diam. 10cm. Classic songs: Jingle Bells, We Wish You A Merry Christmas, Silent Night, Deck The Halls, Joy To The World, The First Noel, Hark! The Herald Angel Sing, Oh, Christmas Tree. Personalise in white vinyl, up to 15 characters.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/6/0/60422.jpg,output\personalised\cache\images\60422.jpg,output\personalised\cache\images\60422_qr.png,,active,
60400,Paw Patrol Chase Money Box,£17.00,£13.50,£3.50,21%,https://stevegiergiel.vivamknetwork.co.uk/paw-patrol-chase-money-box.html,"Featuring the beloved character Chase, from the popular show, this joyful money box provides children with excitement as they save up their pennies. Designed with a slot for coins and folded notes that can be retrieved from the reverse. A clear plastic front window, with a cheeky ‘PAWS off!’ title. Gift boxed. MDF & plastic. H15 x W15 x D3.5cm. Engrave up to 15 characters.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/6/0/60400.jpg,output\personalised\cache\images\60400.jpg,output\personalised\cache\images\60400_qr.png,,active,
60401,Paw Patrol Photo Frame,£15.00,£11.00,£4.00,27%,https://stevegiergiel.vivamknetwork.co.uk/paw-patrol-photo-frame.html,"Boasting lively colours and beloved characters from the popular show, this joyful frame will provide young children with pleasure as they see a photograph of themselves next to their Paw Patrol heroes. Heroes that encourage young viewers to work together and think creatively to overcome challenges. Gift boxed. MDF & plastic. Portrait aperture 4” x 6” (10 x 15cm). H20 x W20 x D4cm. Engrave up to 25 characters.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/6/0/60401.jpg,output\personalised\cache\images\60401.jpg,output\personalised\cache\images\60401_qr.png,,active,
60349,Paw Patrol Santa Stop Here,£10.00,£6.00,£4.00,40%,https://stevegiergiel.vivamknetwork.co.uk/paw-patrol-santa-stop-here.html,This joyful decorative wooden door hanger provides children with a magical addition to their excitement on Christmas Eve. Featuring beloved characters from the popular show on a festive design. H23.5 x W14.5 x D0.5cm. Engrave up to 15 characters. ‘Please stop here! Santa Paws’ and images are fixed.,https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/6/0/60349.jpg,output\personalised\cache\images\60349.jpg,output\personalised\cache\images\60349_qr.png,,active,
68066,Personalised Bracelet - Pink,£9.00,£6.00,£3.00,33%,https://stevegiergiel.vivamknetwork.co.uk/personalised-bracelet-pink.html,"Elevate your everyday look with our stylish personalised bracelet, featuring a weave design and adjustable band. This timeless piece will make a thoughtful gift, suitable for any occasion. PU leather & metal. L17 x W2cm approx. (excluding adjustable ties). Gift boxed. Available in 2 colours. Choose from 3 designs. Text and Skulls & Roses designs: Personalise up to 15 characters, background image is fixed. Photo design: perfect for an image of your choice.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/6/8/68066_3.jpg,output\personalised\cache\images\68066.jpg,output\personalised\cache\images\68066_qr.png,,active,
60474,Personalised Cat Memorial Stone,£22.00,£16.50,£5.50,25%,https://stevegiergiel.vivamknetwork.co.uk/personalised-cat-memorial-stone.html,"Commemorate a beloved pet who has crossed the rainbow bridge with our beautifully crafted silhouette memorial stones. Each stone features a touching sentiment and is finished with charming paw prints - a timeless reminder of the love and companionship they gave so freely. Comes boxed. Stone. H20 x W20cm. Available in cat or dog silhouette. Engrave 1 line on base, up to 30 characters (CAPITALS only). Design is fixed.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/6/0/60474.jpg,output\personalised\cache\images\60474.jpg,output\personalised\cache\images\60474_qr.png,,active,
68064,Personalised Hair Clips,£7.00,£5.00,£2.00,29%,https://stevegiergiel.vivamknetwork.co.uk/personalised-hair-clips.html,"Complete your hair look with our gorgeous hair clips. Ideal for styling and keeping hair in place. Snaps open and shut for easy use. Perfect for gifting. Metal. Set of 2. Each: L5 x diam. 2.5cm. Personalise up to 15 characters, flower design is fixed.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/6/8/68064.jpg,output\personalised\cache\images\68064.jpg,output\personalised\cache\images\68064_qr.png,,active,
60336,Personalised Nativity Scene,£26.00,£16.00,£10.00,38%,https://stevegiergiel.vivamknetwork.co.uk/personalised-nativity-scene.html,"This exquisite piece not only enhances festive décor but also serves as a reminder of the true spirit of the season. The figures, meticulously crafted from metal, stand in striking contract to the wooden backdrop, capturing the essence of the nativity story. Wood & metal. Comes boxed. H20 x W29 x D5cm. Engrave up to 2 lines, 40 characters per line.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/6/0/60336.jpg,output\personalised\cache\images\60336.jpg,output\personalised\cache\images\60336_qr.png,,active,
68076,Personalised Pet Bandana,£10.00,£7.50,£2.50,25%,https://stevegiergiel.vivamknetwork.co.uk/personalised-pet-bandana.html,"Add a paw-sonal touch to your furry friend's style with our Personalised Pet Bandana. Whether it's their name, nickname, or a fun phrase, this custom bandana is the perfect blend of adorable and unique. Polyester. Bandana: L21 x H13cm, neck strap: adjusts from 30 to 43cm. Design 1: Personalise up to 2 lines, line 1 max. 15 characters, line 2 max. 25 characters. Design 2: Personalise 1 line, max. 15 characters. Designs are fixed. FIFA World Cup 2026 Design: Personalise up to 15 characters. Chosen flag design is fixed.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/6/8/68054_teddy_bear_3_.jpg,output\personalised\cache\images\68076.jpg,output\personalised\cache\images\68076_qr.png,,active,
